Order_ID,Customer,Order_Date,Total_Amount,Status
201,Customer_201,2024-04-21,272.19,Completed
202,Customer_202,2024-07-16,427.08,Completed
203,Customer_203,2024-07-20,374.77,Completed
204,Customer_204,2024-07-24,??,Cancelled
205,Customer_205,invalid_date,222.66,Pending
206,Customer_206,2024-10-12,308.03,Pending
207,Customer_207,2024-05-21,67.93,Completed
208,Customer_208,2024-09-25,371.09,
209,Customer_209,2024-12-16,214.16,Cancelled
210,Customer_210@error,invalid_date,??,Pending
211,Customer_211,2024-12-16,275.58,Pending
212,Customer_212,2024-07-14,392.11,Pending
213,Customer_213,2024-04-01,312.84,Completed
214,Customer_214,2024-05-14,448.88,Completed
215,Customer_215,invalid_date,198.72,Completed
216,Customer_216,2024-01-13,,
217,Customer_217,2024-03-10,472.45,Cancelled
218,Customer_218,2024-09-27,318.68,Pending
219,Customer_219,2024-02-08,281.89,Cancelled
220,Customer_220@error,invalid_date,179.89,Pending
221,Customer_221,2024-08-19,410.53,Completed
222,Customer_222,2024-08-12,-30.0,Pending
223,Customer_223,2024-04-14,152.31,Cancelled
224,Customer_224,2024-10-15,364.38,
225,Customer_225,invalid_date,107.9,Pending
226,Customer_226,2024-07-11,319.78,Completed
227,Customer_227,2024-01-26,272.21,Completed
228,Customer_228,2024-12-13,-30.0,Cancelled
229,Customer_229,2024-02-16,84.17,Cancelled
230,Customer_230@error,invalid_date,277.23,Completed
231,Customer_231,2024-02-25,184.51,Pending
232,Customer_232,2024-11-19,307.92,
233,Customer_233,2024-07-17,449.76,Completed
234,Customer_234,2024-06-19,??,Completed
235,Customer_235,invalid_date,96.25,Completed
236,Customer_236,2024-12-11,216.0,Pending
237,Customer_237,2024-09-21,151.38,Completed
238,Customer_238,2024-05-27,108.23,Pending
239,Customer_239,2024-11-17,484.48,Completed
240,Customer_240@error,invalid_date,??,
